alpha urisk trisk pvalue models
8.0 -0.0168 -1.9145 0.0556 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
9.0 -0.0457 -4.7771 1.8e-06 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
10.0 -0.0747 -7.184 7.27e-13 lgbm.lrank.1500.63.0.05.0.4.min132Trisk
0.0 0.2021 73.747 0.0 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
1.0 0.1712 50.946 0.0 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
2.0 0.1404 34.4314 3.44e-245 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
3.0 0.1095 22.5968 3.19e-110 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
4.0 0.0786 13.9234 1.2e-43 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
5.0 0.0477 7.3798 1.72e-13 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
6.0 0.0168 2.3042 0.0212 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
7.0 -0.0141 -1.73 0.0837 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
8.0 -0.045 -5.0044 5.7e-07 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
9.0 -0.0758 -7.7103 1.38e-14 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
10.0 -0.1067 -9.981 2.39e-23 lgbm.lrank.1500.63.0.05.0.4.min133Trisk
0.0 0.2137 78.1743 0.0 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
1.0 0.1848 55.3665 0.0 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
2.0 0.1559 38.6266 1.04e-303 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
3.0 0.1269 26.5243 1.04e-149 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
4.0 0.098 17.603 2.69e-68 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
5.0 0.0691 10.8452 3.01e-27 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
6.0 0.0402 5.5886 2.35e-08 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
7.0 0.0112 1.4018 0.161 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
8.0 -0.0177 -2.0019 0.0453 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
9.0 -0.0466 -4.8181 1.47e-06 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
10.0 -0.0756 -7.1837 7.29e-13 lgbm.lrank.1500.63.0.05.0.4.min134Trisk
0.0 0.2165 78.6216 0.0 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
1.0 0.1876 56.1087 0.0 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
2.0 0.1588 39.4365 1.4e-315 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
3.0 0.1299 27.2916 4.59e-158 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
4.0 0.1011 18.2882 1.76e-73 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
5.0 0.0722 11.4402 4.11e-30 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
6.0 0.0434 6.0972 1.12e-09 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
7.0 0.0145 1.8318 0.067 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
8.0 -0.0143 -1.642 0.101 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
9.0 -0.0432 -4.5202 6.25e-06 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
10.0 -0.072 -6.9407 4.15e-12 lgbm.lrank.1500.63.0.05.0.4.min135Trisk
0.0 0.2164 78.6579 0.0 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
1.0 0.1877 56.0435 0.0 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
2.0 0.1589 39.3442 3.23e-314 lgbm.lrank.1500.63.0.05.0.4.min95min96min97min98min99Trisk
