alpha,topic,trisk,pvalue
0.0,23540,-2.3768,0.0175
0.0,23541,0.0466,0.963
0.0,23542,0.6812,0.496
0.0,23543,0.5138,0.607
0.0,23544,0.898,0.369
0.0,23545,-0.0159,0.987
0.0,23546,1.8475,0.0647
0.0,23547,1.5372,0.124
0.0,23548,0.6442,0.519
0.0,23549,2.7167,0.0066
0.0,23550,0.2018,0.84
0.0,23551,-0.1305,0.896
0.0,23552,0.5782,0.563
0.0,23553,0.4191,0.675
0.0,23554,0.1569,0.875
0.0,23555,1.196,0.232
0.0,23556,0.9512,0.342
0.0,23557,-0.3157,0.752
0.0,23558,0.5348,0.593
0.0,23559,-0.851,0.395
0.0,23560,1.114,0.265
0.0,23561,1.2978,0.194
0.0,23562,0.629,0.529
0.0,23563,2.8392,0.0045
0.0,23564,0.0,1.0
0.0,23565,-0.121,0.904
0.0,23566,-0.0537,0.957
0.0,23567,-0.292,0.77
0.0,23568,0.1298,0.897
0.0,23569,0.74,0.459
0.0,23570,0.7037,0.482
0.0,23571,0.3854,0.7
0.0,23572,2.08,0.0376
0.0,23573,3.2016,0.0014
0.0,23574,0.2372,0.813
0.0,23575,-0.7097,0.478
0.0,23576,0.0,1.0
0.0,23577,-1.1355,0.256
0.0,23578,-1.7612,0.0782
0.0,23579,-0.1157,0.908
0.0,23580,-0.5539,0.58
0.0,23581,0.6837,0.494
0.0,23582,-0.1924,0.847
0.0,23583,1.9558,0.0505
0.0,23584,-0.3807,0.703
0.0,23585,0.4939,0.621
0.0,23586,0.0,1.0
0.0,23587,2.3268,0.02
0.0,23588,0.4681,0.64
0.0,23589,0.453,0.651
0.0,23590,1.6771,0.0936
0.0,23591,-0.007,0.994
0.0,23592,0.9287,0.353
0.0,23593,2.1229,0.0338
0.0,23594,0.3748,0.708
0.0,23595,0.0,1.0
0.0,23596,0.669,0.504
0.0,23597,-0.4144,0.679
0.0,23598,1.7446,0.0811
0.0,23599,3.5467,0.0004
0.0,23600,-0.6442,0.519
0.0,23601,0.3942,0.693
0.0,23602,-0.4607,0.645
