alpha,topic,trisk,pvalue
0.0,23578,-1.3596,0.174
0.0,23579,-0.0396,0.968
0.0,23580,-1.4094,0.159
0.0,23581,0.2948,0.768
0.0,23582,-0.4899,0.624
0.0,23583,1.9328,0.0533
0.0,23584,0.38,0.704
0.0,23585,0.4881,0.625
0.0,23586,0.0,1.0
0.0,23587,1.6617,0.0966
0.0,23588,0.0,1.0
0.0,23589,0.9062,0.365
0.0,23590,1.4113,0.158
0.0,23591,-0.0069,0.994
0.0,23592,1.3581,0.174
0.0,23593,1.8935,0.0583
0.0,23594,0.1217,0.903
0.0,23595,0.8137,0.416
0.0,23596,1.4322,0.152
0.0,23597,-0.5366,0.592
0.0,23598,1.5857,0.113
0.0,23599,3.2648,0.0011
0.0,23600,-0.2464,0.805
0.0,23601,0.423,0.672
0.0,23602,-0.4552,0.649
0.0,23603,-0.8237,0.41
0.0,23605,1.3581,0.174
0.0,23606,0.667,0.505
0.0,23607,-1.0436,0.297
0.0,23608,0.0,1.0
0.0,23609,-0.0405,0.968
0.0,23610,-0.2392,0.811
0.0,23611,1.889,0.0589
0.0,23612,0.3549,0.723
0.0,23613,0.4074,0.684
0.0,23614,0.0259,0.979
0.0,23615,0.9071,0.364
0.0,23616,2.4353,0.0149
0.0,23617,0.5148,0.607
0.0,23618,0.5432,0.587
0.0,23619,-0.4274,0.669
0.0,23620,0.1259,0.9
0.0,23621,0.0,1.0
0.0,23622,0.0,1.0
0.0,23623,0.0342,0.973
0.0,23624,2.2281,0.0259
0.0,23625,1.7546,0.0794
0.0,23627,1.6749,0.094
0.0,23628,0.0898,0.928
0.0,23629,-0.0971,0.923
0.0,23630,0.0,1.0
0.0,23631,-0.9192,0.358
0.0,23632,-0.333,0.739
0.0,23633,1.3909,0.164
0.0,23634,-0.87,0.384
0.0,23635,2.883,0.004
0.0,23636,0.8967,0.37
0.0,23637,0.8319,0.405
0.0,23638,0.0,1.0
0.0,23639,0.8789,0.379
0.0,23640,0.8902,0.373
0.0,23641,1.9202,0.0549
0.0,23642,1.2298,0.219
0.0,23643,0.0,1.0
0.0,23644,0.5725,0.567
0.0,23645,0.6843,0.494
0.0,23646,-0.5683,0.57
0.0,23647,0.4078,0.683
0.0,23648,0.0973,0.922
0.0,23649,3.9946,0.0001
0.0,23650,-0.5634,0.573
0.0,23651,3.3886,0.0007
0.0,23652,-0.0249,0.98
0.0,23653,0.5447,0.586
0.0,23654,-0.0855,0.932
0.0,23655,0.6619,0.508
0.0,23656,-0.4836,0.629
0.0,23657,0.3638,0.716
0.0,23658,4.4801,0.0
0.0,23659,-0.0322,0.974
0.0,23660,1.2854,0.199
0.0,23661,0.9356,0.35
0.0,23662,-0.1778,0.859
0.0,23663,2.0297,0.0424
0.0,23664,0.6482,0.517
0.0,23665,0.5486,0.583
0.0,23666,-0.8025,0.422
0.0,23667,-1.1478,0.251
0.0,23668,-0.3202,0.749
0.0,23669,0.5963,0.551
0.0,23670,-1.8607,0.0628
0.0,23671,0.5421,0.588
0.0,23672,0.274,0.784
0.0,23673,0.3106,0.756
0.0,23674,1.0646,0.287
0.0,23675,0.494,0.621
0.0,23676,1.1606,0.246
0.0,23677,-0.2282,0.819
0.0,23679,0.0022,0.998
0.0,23680,-0.2011,0.841
0.0,23681,1.3262,0.185
0.0,23682,1.1577,0.247
0.0,23683,-0.5705,0.568
0.0,23684,-0.0661,0.947
0.0,23685,-0.0367,0.971
0.0,23686,0.61,0.542
0.0,23687,0.0,1.0
0.0,23688,2.0076,0.0447
0.0,23689,-0.3429,0.732
0.0,23690,0.3141,0.753
0.0,23691,0.1331,0.894
0.0,23692,0.3114,0.756
0.0,23693,0.9392,0.348
0.0,23694,0.8163,0.414
0.0,23695,0.1196,0.905
0.0,23696,-0.4768,0.634
0.0,23697,1.8076,0.0707
0.0,23698,0.4552,0.649
0.0,23699,-0.2422,0.809
0.0,23700,-0.9403,0.347
0.0,23701,0.8644,0.387
0.0,23702,1.4893,0.136
0.0,23703,0.6629,0.507
0.0,23704,-0.667,0.505
0.0,23705,1.0596,0.289
0.0,23706,0.4719,0.637
0.0,23707,1.5488,0.121
0.0,23708,0.8084,0.419
0.0,23710,-0.4553,0.649
0.0,23711,0.2789,0.78
0.0,23712,1.8132,0.0698
0.0,23714,-1.1317,0.258
0.0,23715,0.6344,0.526
0.0,23716,2.574,0.0101
0.0,23717,0.2712,0.786
0.0,23718,0.9363,0.349
0.0,23719,0.8029,0.422
0.0,23720,1.1968,0.231
0.0,23721,-1.5126,0.13
0.0,23722,1.4519,0.147
0.0,23723,-0.8439,0.399
0.0,23724,0.0,1.0
0.0,23725,-0.5595,0.576
0.0,23726,0.3888,0.697
0.0,23727,-0.5959,0.551
0.0,23728,2.0925,0.0364
0.0,23729,0.3134,0.754
0.0,23730,0.0367,0.971
0.0,23731,0.0,1.0
0.0,23732,3.2454,0.0012
0.0,23733,1.9184,0.0551
0.0,23734,0.7036,0.482
0.0,23735,-0.1421,0.887
0.0,23736,0.6019,0.547
0.0,23737,0.1628,0.871
0.0,23738,0.5283,0.597
0.0,23739,2.3492,0.0188
0.0,23740,0.1355,0.892
0.0,23741,1.9638,0.0496
0.0,23742,0.5383,0.59
0.0,23743,3.1034,0.0019
0.0,23744,-0.4771,0.633
0.0,23745,-1.0563,0.291
0.0,23746,-0.6598,0.509
0.0,23747,-2.0224,0.0432
0.0,23748,-0.3817,0.703
0.0,23749,0.4733,0.636
0.0,23750,0.6616,0.508
0.0,23751,0.5725,0.567
0.0,23752,1.8585,0.0631
0.0,23753,0.4553,0.649
0.0,23754,1.124,0.261
0.0,23755,-0.1657,0.868
0.0,23756,0.1247,0.901
0.0,23757,-0.0721,0.943
0.0,23758,-1.173,0.241
0.0,23759,-0.3624,0.717
0.0,23760,-0.5782,0.563
0.0,23761,-0.0647,0.948
0.0,23762,-0.4636,0.643
0.0,23763,0.4677,0.64
0.0,23764,-2.3304,0.0198
0.0,23765,-0.4553,0.649
0.0,23766,0.3558,0.722
0.0,23767,0.6576,0.511
0.0,23768,0.8139,0.416
0.0,23769,1.825,0.068
